,tweet,label
4804,"@thomasmlambo is a breath of very fresh air.
Happy to see him on @SuperSportTV
#WorldCup2022 commentaries.
Cc @SuperSportBlitz",sport
1952,And this my fellow #Americans is one of the many reasons why #Biden should not be elected. https://t.co/ua2rkjnfpG,politics
5657,"🎬 Watch 》Qatari man wears Pro-palestine armband and distributes scarfs of P-alestine in the streets of Qatar hours before the start of 2022 WorldCup.

#SRE
#anime #COP27 #WorldCup2022 #GH22 
#JungkookAtFIFAWorldCup https://t.co/l8QvhxRFE7",sport
4360,Hey @MarinaMarraco Can you feel the intensity of #WorldCup2022 in here? Are the @WashWizards having a good time at @CapitalOneArena?,sport
88,"State of the race in IOWA as of 10/15/2020

Polling Average:

Biden 47.8% (-0.0% from yesterday)
Trump 47.3% (+0.0% from yesterday)

Win probabiity:

Trump: 57.1% (-0.1% from yesterday)
Biden: 42.9%
 
Source: FiveThirtyEight

#ElectionTwitter
#Election2020
#Biden #Trump",politics
7503,"Seems to me some sort of Equator cuts yon old man , too , right in his middle .",other
3063,"Hahaha this #WorldCup2022 is so mid as Jack Hallow's album lol...
I am signing up to be the #Qatar Goal Keeper 
Even I my self i will be man of the match",sport
1564,"@kylegriffin1 Watch the CFR video - #JoeBiden admitted it. 

#QuidProJoe #Ukraine #WheresHunter #BurismaBiden",politics
3528,So drank supporters of #england kicked punched and humilated all italians after the loosing final in #London #Wembley and now is pushing #qatar at #WorldCup2022 with their morals in their match. https://t.co/99QqCig0qc,sport
3426,"Cataroaiele pierd teren. The [Qatarian] boulders are losing ground. Cataroi - Rom. slang for boulder, also metaphorically for stone-dumb. #WorldCup2022 #QATECU",sport
2121,#JoeBiden is Going to Have #BarackObama Pinch Hit For Him &amp; Take on Trump in the Final Weeks Of the Campaign. https://t.co/Jac3z8pmSV via @BreitbartNews,politics
1366,@TrumperSeaney @my3monkees @JoeBiden #Trump2020 #BLM #obama #VoteRed #BidenHarris2020 #Blacklivesmatter #mikepence #Debates2020 #KamalaHarris #KamalaHarrisVP #biden #riots #hunterbidden #AOC #Trump #IlhanOmar #gavinnewsom #tedwheeler #GretchenWhitmer &gt;&gt; This is only the begining its going to get worse! https://t.co/ApKABO7Meg,politics
8674,cheese ( probably an inferior article ).,other
2603,"Remember when they tried to bring Trump down with ""grab her by the pu$$y""?  We all said duh... Today, we learned Biden is corrupt... duh...  Oh yeah.. Facebook and Twitter are censoring information... Duh

#biden #trump #election #2020 #hunterbiden #joebiden #duh",politics
2530,THIS is UNCONSCIONABLE. #Trump pulled out of the scheduled townhall. #Biden KEPT HIS COMMITMENT &amp; HIS WORD and moved forward. Now @nbc @nbcnews is going to REWARD 45 for breaking his commitment and be an accomplice to his attempt to screw over Biden?! #BoycottNBC #BoycottMSNBC https://t.co/8v4AGGUZ4G,politics
4991,I Know I coach Football....... but my Twins love Futbol!! #FIFA #WorldCup2022 https://t.co/wWPjYWSPxZ,sport
592,"Suddenly all the latinos gonna vote for joe biden :)))))
#Biden #ImpracticalJokers https://t.co/fhjgYFXmlw",politics
5571,It’s on! Have a great World Cup frenz 🏆Stay tuned for some big World of Steven news soon 👀😱 🚀🔥☀️🙏#FIFAWorldCup #WorldCup2022 #WorldCup #Qatar2022 #Qatar #Ronaldo𓃵 #Messi𓃵 #NFTs #nftcommunity #NFT #WAGMI https://t.co/b7brWoFnQ3,sport
1980,"@TeamTrump @realDonaldTrump Democlicans = Republicrats + nothing really

""They never do anything for us anyway, Nothing will fundamentally change”

ARE YOU BETTER OFF?"" SURPRISING POLL RESULTS!

@TeamTrump #JoeBiden #DonaldTrump #NancyPelosi #MitchMcConnell #USABananaRepublic

https://t.co/WmAJSuhyRj",politics
4188,Afternoon coaching and now a cuppa with the World Cup (December) #WorldCup2022 #tea https://t.co/Fqlw0UkGOg,sport
4295,"Ecuador at the top of the group for now. 
Nothing has been decided yet. 
It's worth celebrating though 
#FIFAWorldCup #Qatar2022 #FIFAWorldCup2022 #WorldCup2022 https://t.co/oB9fylhF2f",sport
6641,perry easy !,other
401,"@icecube This is what Malcom X says about the democrats https://t.co/gvxOBDRHBi

Joe Biden said he didn't want his children to go to school with black children. #joebiden #facts",politics
5838,How has this Qatar team drawn with Lazio and Fiorentina? #WorldCup2022 #EcuadorvsQatar,sport
